출처: http://cizz.net/pub/1583-2050-parse.txt
년도: 각 음력달의 길이 x 12개 : 해당 음력년도의 총 일수(윤달길이)     *표시는 윤달이 들어가는 달
1964 :  30  29  30  29  29  30  29  30  29  30  30  30 : 355
1965 :  29  30  29  30  29  29  30  29  29  30  30  30 : 354
1966 :  29  30  30* 30  29  29  30  29  29  30  30  29 : 383(29)
1967 :  30  30  29  30  30  29  29  30  29  30  29  30 : 355
1968 :  29  30  30  29  30  29  30* 30  29  30  29  30 : 384(29)
1969 :  29  30  29  30  29  30  30  29  30  29  30  29 : 354
1970 :  30  29  29  30  30  29  30  29  30  30  29  30 : 355
1971 :  29  30  29  29  30* 30  29  30  30  30  29  30 : 384(29)
1972 :  29  30  29  29  30  29  30  29  30  30  30  29 : 354
1973 :  30  29  30  29  29  30  29  29  30  30  30  29 : 354
